[nb-items] 30
[nb-objectives] 5
[nb-pareto] 826
[nb-lorenz] 20
[runtime] 28.437910079956055
[format] f1 f2 f3 f4 f5 isLorenzND
[vector] 12160 10384 9398 12457 7125 False
[vector] 9844 10768 10036 12217 8917 False
[vector] 10007 7714 8412 11257 10159 False
[vector] 10220 9565 10618 12751 9043 False
[vector] 9895 10439 9522 13310 8759 False
[vector] 10638 11276 10666 12449 7875 False
[vector] 12184 9711 9854 11650 7389 False
[vector] 12315 9688 8500 11713 6920 False
[vector] 10416 9443 9331 12347 9871 False
[vector] 9928 9010 8812 11682 9981 False
[vector] 9089 8038 8658 10805 10527 False
[vector] 10723 10009 10296 12735 9060 False
[vector] 10864 10066 10591 12856 8472 False
[vector] 10564 10250 9389 12377 9103 False
[vector] 9527 9396 9781 12835 9275 False
[vector] 12089 9973 9000 12151 8430 False
[vector] 10264 10533 10692 11867 8624 False
[vector] 9563 8676 9355 11685 10126 False
[vector] 8981 10439 10325 12283 9234 False
[vector] 11272 10040 8510 13108 8080 False
[vector] 10243 11027 9816 12684 8276 False
[vector] 8772 8128 8683 10875 10450 False
[vector] 11370 10916 9854 12426 7434 False
[vector] 10569 11312 8515 11499 6057 False
[vector] 9905 10447 9254 13267 8978 False
[vector] 11521 9559 9862 11841 8759 False
[vector] 10961 9589 10044 12875 8629 False
[vector] 8867 10965 9286 12286 8705 False
[vector] 9789 10655 10403 12467 8774 False
[vector] 10036 10596 9579 12960 8489 False
[vector] 12178 9518 8619 11415 7669 False
[vector] 11538 9673 10608 11884 8233 False
[vector] 9912 11353 9758 11925 7147 False
[vector] 10314 8264 9127 10839 9975 False
[vector] 11597 10498 10311 12377 7872 False
[vector] 9822 10102 9510 12747 9317 False
[vector] 9616 10653 9489 13079 9415 False
[vector] 8891 9645 9003 12040 9888 False
[vector] 9393 8796 10571 11958 9327 False
[vector] 9708 10661 10611 11992 8676 False
[vector] 10119 9848 9977 12600 9282 False
[vector] 9911 9976 9767 13087 9367 False
[vector] 11190 9564 9794 13104 8210 False
[vector] 12407 9301 8326 11706 7859 False
[vector] 8648 9091 9566 12011 10092 False
[vector] 10429 9213 10857 11925 8989 False
[vector] 10032 9778 8822 13200 9330 False
[vector] 10418 8821 10559 11245 9322 False
[vector] 11448 10210 9384 12940 8185 False
[vector] 12197 9406 9500 11072 7750 False
[vector] 10442 10748 10023 12500 8837 False
[vector] 9836 10534 9720 13311 9233 False
[vector] 10757 10325 9715 12940 8821 False
[vector] 9763 10627 9424 12522 9191 False
[vector] 10437 9321 10011 12090 9513 False
[vector] 10531 10238 9278 12753 9449 False
[vector] 9454 8820 10891 11080 9283 False
[vector] 10693 10617 9178 13251 8219 False
[vector] 10950 9668 10533 13067 8875 False
[vector] 11452 10071 10666 11673 7830 False
[vector] 11927 9537 10180 11476 8721 False
[vector] 11625 10031 10187 11770 8396 False
[vector] 10208 9898 8685 12997 9433 False
[vector] 10109 7599 8847 10811 10185 False
[vector] 11490 9375 8212 12813 8077 False
[vector] 7857 8543 8894 11201 10416 False
[vector] 10454 10373 9042 13132 9302 False
[vector] 9321 10570 10082 12705 8932 False
[vector] 9903 9112 9059 12176 9882 False
[vector] 10383 9573 10592 12244 9304 False
[vector] 10726 10140 9596 13127 9158 False
[vector] 9932 11368 8788 11730 6664 False
[vector] 11038 8407 9984 10835 9183 False
[vector] 10162 9294 11003 11227 8917 False
[vector] 9590 10059 9363 13176 9364 False
[vector] 8668 9526 9330 11794 10173 False
[vector] 10865 10626 8990 13322 8175 False
[vector] 9665 8561 9790 11239 10152 False
[vector] 11763 9598 10200 11459 8053 False
[vector] 11804 10867 9706 11384 6839 False
[vector] 10252 9135 8409 12363 9851 False
[vector] 10633 9215 8974 12492 9714 False
[vector] 9887 8203 10002 10312 9880 False
[vector] 9494 9621 9864 11215 9595 False
[vector] 8370 9487 9955 11152 9731 False
[vector] 10067 10857 8942 12852 8171 False
[vector] 9181 9873 9852 12771 9535 False
[vector] 10771 10134 8539 12790 8784 False
[vector] 8105 10302 9513 11792 9376 False
[vector] 10861 9451 9712 13090 8395 False
[vector] 11443 9935 9754 12385 9274 False
[vector] 10709 10154 9423 13028 8827 False
[vector] 8811 10992 10450 11445 8483 False
[vector] 10251 10606 9557 12943 8958 False
[vector] 8608 9869 9190 13336 9233 False
[vector] 11902 10084 9594 11654 7070 False
[vector] 10223 10897 9920 11809 8326 False
[vector] 10102 10006 10438 12724 9047 False
[vector] 9080 7871 8568 11396 10418 False
[vector] 9996 10037 9681 12811 9326 False
[vector] 8468 8035 8800 10794 10514 False
[vector] 12104 9940 9120 11301 8097 False
[vector] 9941 9029 8605 11806 10241 False
[vector] 8555 9142 10208 11572 9718 False
[vector] 9486 7849 8886 11031 10380 False
[vector] 10512 9435 9950 11452 9461 False
[vector] 10321 10390 9911 12008 9311 False
[vector] 10028 10780 10236 12454 8317 False
[vector] 11135 9185 9911 11232 9266 False
[vector] 11867 8825 9099 11209 8825 False
[vector] 9898 8263 10135 11218 9831 False
[vector] 10944 11116 10652 12299 7603 False
[vector] 9403 10281 10452 11858 9281 False
[vector] 10338 10504 10657 12051 8785 False
[vector] 10868 9672 8660 12993 8866 False
[vector] 11871 10364 9243 11647 7918 False
[vector] 11596 9706 9779 12833 8031 False
[vector] 11220 9932 10380 11254 8305 False
[vector] 10123 10376 10635 12217 8894 False
[vector] 9319 9719 9395 12102 9798 False
[vector] 10438 9464 9985 11268 9300 False
[vector] 10671 10549 9647 12824 8032 False
[vector] 9756 10406 10476 12619 8720 False
[vector] 10167 10995 9274 12637 8405 False
[vector] 11868 9694 9411 11134 8043 False
[vector] 9155 9245 8853 12753 9734 False
[vector] 9205 7641 8650 10473 10543 False
[vector] 10314 9137 10184 11338 9636 False
[vector] 11281 8863 8688 11778 9618 False
[vector] 10498 8899 9560 11878 9630 False
[vector] 10161 8425 10691 11302 9699 False
[vector] 10724 10878 10608 12660 8278 False
[vector] 12069 9069 9244 11342 8429 False
[vector] 9169 8600 10971 10978 9361 False
[vector] 12102 10330 8652 11781 7349 False
[vector] 8670 10835 10393 11795 8753 False
[vector] 10301 10417 9840 12945 8721 False
[vector] 10529 9815 9089 12908 9436 False
[vector] 11349 9512 10728 11659 7567 False
[vector] 9022 9460 9319 11940 9878 False
[vector] 11374 9734 10628 11867 7565 False
[vector] 9629 10580 10624 12003 9081 False
[vector] 11353 10638 9441 12289 8101 False
[vector] 9899 10996 10106 12295 8228 False
[vector] 9521 10957 10028 12871 9249 False
[vector] 10908 9734 10157 12443 9151 False
[vector] 11373 8865 10316 11942 8347 False
[vector] 8668 10190 10052 12209 9504 False
[vector] 11199 10203 9457 12241 8646 False
[vector] 8628 8725 10357 11659 9861 False
[vector] 12132 10185 9474 12512 8038 False
[vector] 9918 10137 9426 12078 9291 False
[vector] 10049 9892 9568 13243 8804 False
[vector] 10040 9274 9405 12177 9744 False
[vector] 10602 10649 9676 13059 8144 False
[vector] 9029 11386 9266 11111 7022 False
[vector] 9892 8789 9437 11699 9941 False
[vector] 8589 9616 9480 11786 9966 False
[vector] 9686 9340 9416 12031 10039 False
[vector] 10712 9686 10674 12258 9119 False
[vector] 10276 9220 10638 11708 9277 False
[vector] 8839 8933 11012 11044 8751 False
[vector] 10318 11331 10076 11560 7109 False
[vector] 12019 8903 9562 11708 7503 False
[vector] 9358 8828 10272 11975 9693 False
[vector] 11394 10269 9442 12709 8214 False
[vector] 9750 10932 9778 13100 8830 False
[vector] 11428 10744 10210 12480 7566 False
[vector] 12738 8885 8283 10588 6392 False
[vector] 10071 9983 10168 13059 8704 False
[vector] 10735 10799 10119 12468 8032 False
[vector] 10478 10648 9447 12166 8700 False
[vector] 8513 10173 9729 13128 9067 False
[vector] 11208 10506 10166 12841 8241 False
[vector] 12090 9376 9162 11954 8518 False
[vector] 9402 9232 10681 12279 9014 False
[vector] 11139 10950 10445 12292 8003 False
[vector] 9282 10671 10161 12397 8657 False
[vector] 10203 10449 10064 12608 8908 False
[vector] 9808 9210 10999 11914 8976 False
[vector] 10706 9936 10236 12923 8247 False
[vector] 9320 8657 9872 10924 9887 False
[vector] 9655 10115 11018 11514 8721 False
[vector] 9006 10440 8950 12446 9466 False
[vector] 11776 10894 10172 12061 7396 False
[vector] 11013 10604 9848 12467 8532 False
[vector] 8046 8285 9585 11903 9872 False
[vector] 9894 9596 10628 11631 9392 False
[vector] 12020 9772 9874 11633 6721 False
[vector] 11910 9037 9573 11570 8433 False
[vector] 9761 10853 9289 12908 8584 False
[vector] 11890 10469 9648 11595 7242 False
[vector] 11800 10247 9760 12344 8176 False
[vector] 9274 8950 10115 11878 9872 False
[vector] 9708 9453 8728 12152 10062 False
