[nb-items] 20
[nb-objectives] 6
[nb-pareto] 472
[nb-lorenz] 9
[runtime] 2.1851799488067627
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 5889 5492 5562 7225 4466 7695 False
[vector] 6632 5432 7046 7455 5612 5374 False
[vector] 5868 5195 6718 7452 5508 7251 False
[vector] 7022 5266 6459 7267 5180 6533 False
[vector] 5713 5283 5550 7624 5863 7164 False
[vector] 5202 5009 7760 6938 5870 6173 False
[vector] 5573 5581 7343 6666 4530 6864 False
[vector] 6036 5094 5558 6970 5531 7475 False
[vector] 6000 5788 6095 7636 4992 6969 False
[vector] 6361 5621 5664 8162 5139 5973 False
[vector] 7153 5400 6779 7378 4800 6300 False
[vector] 4447 4465 4476 6168 5249 7678 False
[vector] 7569 5984 7115 7528 4236 5859 False
[vector] 6715 5305 6482 7405 4606 6619 False
[vector] 6041 5275 5641 7626 4832 6884 False
[vector] 6196 5453 5539 7087 5040 7609 False
[vector] 6627 5958 7473 6498 4512 6088 False
[vector] 4997 4366 6408 6614 6349 4639 False
[vector] 5688 5115 7322 7265 6345 5729 False
[vector] 4365 4168 5578 6861 5629 7185 False
[vector] 5441 5134 7593 6925 5413 5921 False
[vector] 6916 5089 6675 7927 4662 5711 False
[vector] 5548 5082 6805 6315 5723 6851 False
[vector] 4533 4067 4418 6379 5652 7409 False
[vector] 5888 6405 6334 7080 4627 5929 False
[vector] 5711 5509 5415 8010 5256 6865 False
[vector] 6453 6180 6255 7688 4691 7266 False
[vector] 5152 5254 6570 6438 5723 6965 False
[vector] 5625 6428 7020 6817 4596 6369 False
[vector] 6781 5452 5593 7550 5036 7152 False
[vector] 6106 5566 6222 7837 5464 6643 False
[vector] 5348 4687 6537 7484 6222 6196 False
[vector] 6768 6175 6920 6528 4187 6536 False
[vector] 4847 4934 5801 6684 6273 6840 False
[vector] 6599 5853 6303 7359 4301 6822 False
[vector] 4758 4717 4980 6707 5793 7302 False
[vector] 6236 4757 5760 7480 4741 6893 False
[vector] 5994 5750 6472 7330 4660 7254 False
[vector] 5152 5370 4616 6661 5149 7697 False
[vector] 5620 5460 6660 7510 4989 7087 False
[vector] 5833 5409 6472 8214 5247 6860 False
[vector] 4497 5138 6288 7153 6071 4493 False
[vector] 5010 6224 7378 6641 5144 6118 False
[vector] 6683 5414 6362 7793 5798 6201 False
[vector] 7070 5332 6616 8037 4726 6108 False
[vector] 6329 5901 6177 7650 4807 6363 False
[vector] 6732 4848 7434 6847 5561 5721 False
[vector] 5895 4877 6111 6940 5856 7027 False
[vector] 6668 5426 7165 6561 4147 6396 False
[vector] 5828 5812 7552 7199 5742 6062 False
[vector] 6450 5838 6485 8139 5619 5511 False
[vector] 5434 5061 5138 7710 5069 7372 False
[vector] 5491 4135 5649 6682 6258 5774 False
[vector] 6388 6154 7135 7555 5107 6407 False
[vector] 5879 6311 6815 7083 4864 6464 False
[vector] 6694 5994 7121 7405 4835 6647 False
[vector] 5530 4281 7098 6800 6215 6059 False
[vector] 6402 5681 6992 7804 5569 6864 False
[vector] 6542 5857 6894 6456 4182 6865 False
[vector] 5836 4121 7084 6650 5943 6299 False
[vector] 5120 5013 5887 6864 5861 6981 False
[vector] 5020 5415 7199 7622 5877 6310 False
[vector] 4854 4268 5702 7294 6242 5534 False
[vector] 6011 6174 6676 7597 4599 5587 False
